path,archetype
ArtemisArt/afro - afro-basaldella_1912/afro_1.jpg,15
ArtemisArt/afro - afro-basaldella_1912/afro_5.jpg,2
ArtemisArt/agutte - agutte-georgette_1867/agutte_10.jpg,14
ArtemisArt/agutte - agutte-georgette_1867/agutte_2.jpg,5
ArtemisArt/agutte - agutte-georgette_1867/agutte_6.jpg,1
ArtemisArt/albers - josef-albers_1888/albers_1.jpg,3
ArtemisArt/albers - josef-albers_1888/albers_13.jpg,13
ArtemisArt/albers - josef-albers_1888/albers_17.jpg,15
ArtemisArt/albers - josef-albers_1888/albers_3.jpg,7
ArtemisArt/albers - josef-albers_1888/albers_7.jpg,1
ArtemisArt/alechinsky - pierre-alechinsky_1927/alechinsky_2.jpg,2
ArtemisArt/alechinsky - pierre-alechinsky_1927/alechinsky_6.jpg,13
ArtemisArt/allori-a - alessandro-allori_1535/allori-a_1.jpg,15
ArtemisArt/allori-a - alessandro-allori_1535/allori-a_13.jpg,13
ArtemisArt/allori-a - alessandro-allori_1535/allori-a_17.jpg,6
ArtemisArt/allori-a - alessandro-allori_1535/allori-a_20.jpg,11
ArtemisArt/allori-a - alessandro-allori_1535/allori-a_24.jpg,1
ArtemisArt/allori-a - alessandro-allori_1535/allori-a_28.jpg,3
ArtemisArt/allori-a - alessandro-allori_1535/allori-a_31.jpg,11
ArtemisArt/allori-a - alessandro-allori_1535/allori-a_35.jpg,13
ArtemisArt/allori-a - alessandro-allori_1535/allori-a_5.jpg,2
ArtemisArt/allori-a - alessandro-allori_1535/allori-a_9.jpg,4
ArtemisArt/amiet - cuno-amiet_1868/amiet_2.jpg,10
ArtemisArt/amiet - cuno-amiet_1868/amiet_6.jpg,11
ArtemisArt/andre - albert-andre_1869/andre_1.jpg,12
ArtemisArt/andre - albert-andre_1869/andre_5.jpg,2
ArtemisArt/andre - albert-andre_1869/andre_9.jpg,4
ArtemisArt/appel - karel-appel_1921/appel_12.jpg,6
ArtemisArt/appel - karel-appel_1921/appel_16.jpg,13
ArtemisArt/appel - karel-appel_1921/appel_2.jpg,10
ArtemisArt/appel - karel-appel_1921/appel_5.jpg,6
ArtemisArt/appel - karel-appel_1921/appel_9.jpg,15
ArtemisArt/arman - armand-fernandez-dit-arman_1928/arman_3.jpg,2
ArtemisArt/arman - armand-fernandez-dit-arman_1928/arman_7.jpg,15
ArtemisArt/arp - hans-peter-wilhelm-arp-dit-jean-arp_1886/arp_10.jpg,3
